metric,direction,baseline_method,treatment_method,n,mean_difference,median_difference,standardized_paired_effect,cliffs_delta,permutation_p_value,pairing_unit,holm_adjusted_p_value_within_metric_family
hypervolume_at_0_negative_40,higher-is-better,random,sobol,5,198.01062620642477,-70.02218911601085,0.06288931220355987,0.12,1.0,seed,1.0
hypervolume_at_0_negative_40,higher-is-better,random,bo_qlognei_throughput,5,2825.399517603022,2930.5630196472994,1.2107756902803635,0.76,0.0625,seed,0.625
hypervolume_at_0_negative_40,higher-is-better,random,bo_qlognparego_multiobjective,5,3115.159761348304,2869.688664684996,1.211775313614302,0.84,0.0625,seed,0.625
hypervolume_at_0_negative_40,higher-is-better,random,bo_qlognehvi_multiobjective,5,2094.4275339286164,902.7256260561844,0.8678316453447985,0.68,0.0625,seed,0.625
hypervolume_at_0_negative_40,higher-is-better,sobol,bo_qlognei_throughput,5,2627.3888913965975,2204.7586151412106,1.7058147807200827,1.0,0.0625,seed,0.625
hypervolume_at_0_negative_40,higher-is-better,sobol,bo_qlognparego_multiobjective,5,2917.1491351418795,2940.966446591032,4.381965109764752,1.0,0.0625,seed,0.625
hypervolume_at_0_negative_40,higher-is-better,sobol,bo_qlognehvi_multiobjective,5,1896.4169077221916,2206.2526641812074,1.0846891201461242,0.76,0.0625,seed,0.625
hypervolume_at_0_negative_40,higher-is-better,bo_qlognei_throughput,bo_qlognparego_multiobjective,5,289.7602437452821,736.2078314498212,0.2475211011823091,0.2,0.625,seed,1.0
hypervolume_at_0_negative_40,higher-is-better,bo_qlognei_throughput,bo_qlognehvi_multiobjective,5,-730.9719836744058,1.494049039996753,-0.33989528774125893,-0.2,0.75,seed,1.0
hypervolume_at_0_negative_40,higher-is-better,bo_qlognparego_multiobjective,bo_qlognehvi_multiobjective,5,-1020.7322274196879,-734.7137824098245,-0.7956272306184539,-0.44,0.1875,seed,0.75
best_throughput_tps,higher-is-better,random,sobol,5,45.69422740000009,64.76870300000019,0.8868598908831175,0.52,0.25,seed,1.0
best_throughput_tps,higher-is-better,random,bo_qlognei_throughput,5,55.60570280000011,53.06642800000009,1.5752083365545357,0.68,0.0625,seed,0.625
best_throughput_tps,higher-is-better,random,bo_qlognparego_multiobjective,5,60.2999772000001,46.56982100000005,1.5616524909309522,0.68,0.0625,seed,0.625
best_throughput_tps,higher-is-better,random,bo_qlognehvi_multiobjective,5,49.76271120000001,27.89693699999998,1.2863851560911226,0.68,0.0625,seed,0.625
best_throughput_tps,higher-is-better,sobol,bo_qlognei_throughput,5,9.911475400000018,5.115861000000223,0.24805022645716598,0.04,0.625,seed,1.0
best_throughput_tps,higher-is-better,sobol,bo_qlognparego_multiobjective,5,14.605749800000012,18.93630200000007,0.4597458751676087,0.12,0.4375,seed,1.0
best_throughput_tps,higher-is-better,sobol,bo_qlognehvi_multiobjective,5,4.068483799999922,8.598055999999815,0.13255197583937595,0.04,0.8125,seed,1.0
best_throughput_tps,higher-is-better,bo_qlognei_throughput,bo_qlognparego_multiobjective,5,4.694274399999995,0.0,0.4305685004430492,0.08,0.5,seed,1.0
best_throughput_tps,higher-is-better,bo_qlognei_throughput,bo_qlognehvi_multiobjective,5,-5.842991600000095,0.0,-0.3384040946058335,-0.2,0.75,seed,1.0
best_throughput_tps,higher-is-better,bo_qlognparego_multiobjective,bo_qlognehvi_multiobjective,5,-10.537266000000091,-18.507026000000224,-0.6298743187032673,-0.32,0.25,seed,1.0
minimum_p99_ms,lower-is-better,random,sobol,5,0.12546200000001093,-0.012999999999998124,0.1377845146763277,0.12,1.0,seed,1.0
minimum_p99_ms,lower-is-better,random,bo_qlognei_throughput,5,-0.6859659999999685,-0.6891899999999431,-1.0628860672652838,-0.6,0.125,seed,0.875
minimum_p99_ms,lower-is-better,random,bo_qlognparego_multiobjective,5,-0.7598799999999819,-0.7360000000000007,-1.0744900970913371,-0.84,0.0625,seed,0.625
minimum_p99_ms,lower-is-better,random,bo_qlognehvi_multiobjective,5,-0.4739839999999852,-0.17361999999988242,-0.7414343493352664,-0.44,0.25,seed,1.0
minimum_p99_ms,lower-is-better,sobol,bo_qlognei_throughput,5,-0.8114279999999795,-0.9137900000000378,-1.9875152841817456,-1.0,0.0625,seed,0.625
minimum_p99_ms,lower-is-better,sobol,bo_qlognparego_multiobjective,5,-0.8853419999999929,-1.0484399999999425,-3.5484258741763615,-1.0,0.0625,seed,0.625
minimum_p99_ms,lower-is-better,sobol,bo_qlognehvi_multiobjective,5,-0.5994459999999961,-0.9137900000000378,-1.0468266375360813,-0.76,0.1875,seed,1.0
