metric,direction,method,n,mean,median,standard_deviation,median_absolute_deviation,bootstrap_ci_95,bootstrap_unit
hypervolume_at_0_negative_40,higher-is-better,random,5,40228.2259358384,39899.55969205801,2521.2425914999967,1747.5049968959866,"[38257.0160044915,42285.2258767181]",seed
hypervolume_at_0_negative_40,higher-is-better,sobol,5,40426.236562044825,40436.309696836746,847.2541968862954,606.7721938947507,"[39867.35003202366,41131.68031696052]",seed
hypervolume_at_0_negative_40,higher-is-better,bo_qlognei_throughput,5,43053.62545344142,42502.742223238005,1183.327570502255,677.3008793980043,"[42149.52453660253,43957.72637028032]",seed
hypervolume_at_0_negative_40,higher-is-better,bo_qlognparego_multiobjective,5,43343.385697186706,43586.257965508,658.72132473183,555.01643891001,"[42822.53889331743,43837.16078845868]",seed
hypervolume_at_0_negative_40,higher-is-better,bo_qlognehvi_multiobjective,5,42322.653469767014,41912.82681662999,1733.2658303145745,1672.9874280710865,"[41048.181607759616,43706.711068797216]",seed
best_throughput_tps,higher-is-better,random,5,3003.9302226,2996.622873,59.5881862541561,18.53315300000031,"[2956.7674702,3053.0467422]",seed
best_throughput_tps,higher-is-better,sobol,5,3049.6244500000003,3057.958778,30.804451523572233,24.586253999999826,"[3024.2879187999997,3072.8353596]",seed
best_throughput_tps,higher-is-better,bo_qlognei_throughput,5,3059.5359254000005,3056.012901,34.76080650613345,20.75315499999988,"[3035.1144026,3088.8952696]",seed
best_throughput_tps,higher-is-better,bo_qlognparego_multiobjective,5,3064.2301998000003,3053.549655,28.455374996893433,8.176192000000356,"[3047.5942434,3089.6186915999997]",seed
best_throughput_tps,higher-is-better,bo_qlognehvi_multiobjective,5,3053.6929338,3033.150148,37.315196916264114,8.630338000000393,"[3028.6672179999996,3086.4141584]",seed
minimum_p99_ms,lower-is-better,random,5,26.611783999999982,26.767,0.6111262310521945,0.6613000000000469,"[26.13817199999993,27.063920000000017]",seed
minimum_p99_ms,lower-is-better,sobol,5,26.737245999999992,26.766439999999943,0.3252781713856712,0.11256000000005884,"[26.452087999999986,26.960116000000017]",seed
minimum_p99_ms,lower-is-better,bo_qlognei_throughput,5,25.925818000000014,25.997,0.2671346892861377,0.17099999999999937,"[25.71573000000003,26.130124000000023]",seed
minimum_p99_ms,lower-is-better,bo_qlognparego_multiobjective,5,25.851904,25.816,0.163051909157832,0.1345800000000743,"[25.72296799999997,25.980840000000036]",seed
minimum_p99_ms,lower-is-better,bo_qlognehvi_multiobjective,5,26.1378,26.168,0.4371912624927453,0.38599999999999923,"[25.8344,26.4878]",seed
mean_control_relative_tps,higher-is-better,random,5,-0.08322223438938432,-0.08300769700518158,0.016675599720618578,0.012191847109269377,"[-0.0956546850654558,-0.07012918843245117]",seed
mean_control_relative_tps,higher-is-better,sobol,5,-0.07413458392359276,-0.07563630717092878,0.005308223256427135,0.004476335546808888,"[-0.07826172314814339,-0.0700074446990421]",seed
mean_control_relative_tps,higher-is-better,bo_qlognei_throughput,5,-0.002669874342921831,-0.005754389024584242,0.007061328123694669,0.003715591340723132,"[-0.008094772978735319,0.0027637070624906596]",seed
mean_control_relative_tps,higher-is-better,bo_qlognparego_multiobjective,5,-0.002718723116190781,-0.003953466754449049,0.009232071306940646,0.008712164596139245,"[-0.01003979985915629,0.004602353626774728]",seed
mean_control_relative_tps,higher-is-better,bo_qlognehvi_multiobjective,5,-0.009455820906321492,-0.004127841760517973,0.012345790753076262,0.0032131119343855414,"[-0.020527965736404977,-0.001961304721813967]",seed
mean_control_relative_p99_ms,lower-is-better,random,5,1.3035503440025675,1.367921839646415,0.7126085310860726,0.2859763011363208,"[0.7335843466540631,1.8611733093434264]",seed
mean_control_relative_p99_ms,lower-is-better,sobol,5,1.3639265245581302,1.3494745353537174,0.6335286453128042,0.4553591729799076,"[0.877873925000058,1.8499791241162025]",seed
mean_control_relative_p99_ms,lower-is-better,bo_qlognei_throughput,5,-1.3951786762625684,-1.1059937196967629,0.8066119507565429,0.2019181303662949,"[-2.1201348948862986,-0.9246148567550236]",seed
mean_control_relative_p99_ms,lower-is-better,bo_qlognparego_multiobjective,5,-1.5303071659721619,-1.2545011136363544,0.8494383313636036,0.16168394223479488,"[-2.27534677998734,-1.0270135036615409]",seed
mean_control_relative_p99_ms,lower-is-better,bo_qlognehvi_multiobjective,5,-1.2321170913509514,-1.243698462121183,0.861931757851728,0.13178033617428908,"[-1.9671152522095938,-0.5353254478534052]",seed
