seed,method,minimum_p99_ms,expected_budget,valid_observations,best_throughput_tps,mean_control_relative_tps,hypervolume_at_0_negative_40,mean_control_relative_p99_ms,observations_beating_control_p99,observations_beating_control_tps,observations_dominating_local_control
88408573,random,26.102,30,30,2996.622873,-0.07548271714713457,41647.06468895399,1.367921839646415,10,4,4
88408573,sobol,27.081790000000037,30,30,3070.563978,-0.07563630717092878,39620.68272869879,2.190326797664142,6,6,4
88408573,bo_qlognei_throughput,26.168,30,30,3024.51981,-0.007889757569238804,41825.44134384,-0.9910569829545177,22,21,20
88408573,bo_qlognparego_multiobjective,26.013100000000094,30,30,3043.130594,-0.012665631350588295,42561.64917528982,-0.8724829100378461,21,20,20
88408573,bo_qlognehvi_multiobjective,26.168,30,30,3024.51981,-0.00960533334227411,41826.93539288,-1.243698462121183,23,20,20
1418705027,random,25.91361999999988,30,30,3090.662655,-0.059987893633556756,43470.87627607882,0.31069268465916194,16,6,6
1418705027,sobol,26.879,30,30,3082.545032,-0.06806263805351472,40436.309696836746,0.8941153623738098,14,6,6
1418705027,bo_qlognei_throughput,25.748,30,30,3113.664716,0.005971768818585418,44351.409491540995,-1.3079118500630578,25,20,20
1418705027,bo_qlognparego_multiobjective,25.816,30,30,3113.664716,0.005849242249993514,44141.27440441801,-1.4161850558711493,26,21,21
1418705027,bo_qlognehvi_multiobjective,25.74,30,30,3113.664716,-0.0009147298261324322,44373.60190213501,-1.111918125946894,24,19,19
642754166,random,26.848,30,30,2993.190075,-0.08300769700518158,39366.4358664,2.2853330561868743,6,3,2
642754166,sobol,26.766439999999943,30,30,3057.958778,-0.07772351156715643,40452.547281689585,1.7598837449495053,9,5,5
642754166,bo_qlognei_throughput,26.158810000000056,30,30,3056.012901,-0.005754389024584242,42296.9988860473,-0.7747018169191808,20,20,20
642754166,bo_qlognparego_multiobjective,25.718,30,30,3053.549655,-0.003953466754449049,43586.257965508,-1.2545011136363544,21,21,21
642754166,bo_qlognehvi_multiobjective,25.782,30,30,3066.556834,-0.004127841760517973,43585.814244701076,-1.2583196938131234,21,21,21
1902413987,random,26.767,30,30,3015.156026,-0.10243332004659772,39899.55969205801,1.4718586010102919,11,3,3
1902413987,sobol,26.754,30,30,3006.910577,-0.08011264271773767,39829.537502941996,1.3494745353537174,14,6,6
1902413987,bo_qlognei_throughput,25.557280000000027,30,30,3068.222454,-0.009469980365307374,44291.5353225408,-1.1059937196967629,23,19,19
1902413987,bo_qlognparego_multiobjective,26.031,30,30,3061.725847,-0.010457134920077904,42769.248356743,-1.101433732323017,23,19,19
1902413987,bo_qlognehvi_multiobjective,26.829,30,30,3033.150148,-0.03070658850453945,39914.08899248901,-0.05820302777757315,20,15,15
740267717,random,27.428300000000046,30,30,2924.019484,-0.09519954411445096,36757.19315570117,1.0819455385100942,12,5,5
740267717,sobol,26.205,30,30,3030.143885,-0.06913782010862617,41792.105600057,0.6258321824494765,13,7,7
740267717,bo_qlognei_throughput,25.997,30,30,3035.259746,0.0037929864259358477,42502.742223238005,-2.7962290116793227,24,20,20
740267717,bo_qlognparego_multiobjective,25.681419999999925,30,30,3049.080187,0.007633375194167828,43658.49858397469,-3.0069330179924423,24,21,21
740267717,bo_qlognehvi_multiobjective,26.17,30,30,3030.573161,-0.001924611098143499,41912.82681662999,-2.4884461470959836,24,20,20
